code	isolate	temp_C	replicate	axis	dpi	col_diam_mm	
IN12-4.25.1.1	IN12-4	25	1	1	1	32.58	
IN12-4.25.1.2	IN12-4	25	1	2	1	31.88	
IN12-8-3.25.1.1	IN12-8-3	25	1	1	1	35.18	
IN12-8-3.25.1.2	IN12-8-3	25	1	2	1	35.18	
IN12-9-4.25.1.1	IN12-9-4	25	1	1	1	31.01	
IN12-9-4.25.1.2	IN12-9-4	25	1	2	1	28.85	
IN12-9-6.25.1.1	IN12-9-6	25	1	1	1	25.33	
IN12-9-6.25.1.2	IN12-9-6	25	1	2	1	24.69	
IN12-PO-3.25.1.1	IN12-PO-3	25	1	1	1	30.24	
IN12-PO-3.25.1.2	IN12-PO-3	25	1	2	1	28.64	
Md10.25.1.1	Md10	25	1	1	1	29.5	
Md10.25.1.2	Md10	25	1	2	1	29.21	
Md3.25.1.1	Md3	25	1	1	1	30.46	
Md3.25.1.2	Md3	25	1	2	1	29.01	
Md5.25.1.1	Md5	25	1	1	1	29.81	
Md5.25.1.2	Md5	25	1	2	1	29.81	
Md6.25.1.1	Md6	25	1	1	1	29.69	
Md6.25.1.2	Md6	25	1	2	1	30.43	
Md7.25.1.1	Md7	25	1	1	1	26.89	
Md7.25.1.2	Md7	25	1	2	1	28.65	
MP144.25.1.1	MP144	25	1	1	1	25.14	
MP144.25.1.2	MP144	25	1	2	1	25.14	
MP220.25.1.1	MP220	25	1	1	1	27.17	
MP220.25.1.2	MP220	25	1	2	1	26.54	
MP223.25.1.1	MP223	25	1	1	1	26.72	
MP223.25.1.2	MP223	25	1	2	1	26.24	
MP249.25.1.1	MP249	25	1	1	1	26.44	
MP249.25.1.2	MP249	25	1	2	1	26.26	
MP250.25.1.1	MP250	25	1	1	1	27.02	
MP250.25.1.2	MP250	25	1	2	1	27.02	
MP258.25.1.1	MP258	25	1	1	1	23.83	
MP258.25.1.2	MP258	25	1	2	1	24.63	
TN262.25.1.1	TN262	25	1	1	1	24.42	
TN262.25.1.2	TN262	25	1	2	1	23.99	
TN264.25.1.1	TN264	25	1	1	1	30.93	
TN264.25.1.2	TN264	25	1	2	1	31.04	
TN270.25.1.1	TN270	25	1	1	1	26.35	
TN270.25.1.2	TN270	25	1	2	1	26.35	
TN279.25.1.1	TN279	25	1	1	1	22.21	
TN279.25.1.2	TN279	25	1	2	1	23.46	
TN280.25.1.1	TN280	25	1	1	1	26.85	
TN280.25.1.2	TN280	25	1	2	1	26.77	
TN380.25.1.1	TN380	25	1	1	1	16.67	
TN380.25.1.2	TN380	25	1	2	1	17.5	
TN4.25.1.1	TN4	25	1	1	1	19.64	
TN4.25.1.2	TN4	25	1	2	1	19.64	
TN501.25.1.1	TN501	25	1	1	1	18.49	
TN501.25.1.2	TN501	25	1	2	1	19.38	
TN550.25.1.1	TN550	25	1	1	1	21.87	
TN550.25.1.2	TN550	25	1	2	1	23.7	
W12-6.25.1.1	W12-6	25	1	1	1	21.66	
W12-6.25.1.2	W12-6	25	1	2	1	23.26	
W23.25.1.1	W23	25	1	1	1	23.07	
W23.25.1.2	W23	25	1	2	1	22.96	
W3-5.25.1.1	W3-5	25	1	1	1	17.63	
W3-5.25.1.2	W3-5	25	1	2	1	18.29	
Dm13.25.2.1	Dm13	25	2	1	1	34.67	
Dm13.25.2.2	Dm13	25	2	2	1	36.35	
Et12.25.2.1	Et12	25	2	1	1	37.11	
Et12.25.2.2	Et12	25	2	2	1	38.06	
Et14.25.2.1	Et14	25	2	1	1	33.7	
Et14.25.2.2	Et14	25	2	2	1	33.36	
Et17.25.2.1	Et17	25	2	1	1	35.78	
Et17.25.2.2	Et17	25	2	2	1	34.21	
Et18.25.2.1	Et18	25	2	1	1	34.11	
Et18.25.2.2	Et18	25	2	2	1	35.42	
IN12-4.25.2.1	IN12-4	25	2	1	1	33.22	
IN12-4.25.2.2	IN12-4	25	2	2	1	33.52	
IN12-8-3.25.2.1	IN12-8-3	25	2	1	1	37.77	
IN12-8-3.25.2.2	IN12-8-3	25	2	2	1	35.87	
IN12-9-4.25.2.1	IN12-9-4	25	2	1	1	30.61	
