code	isolate	temp_C	replicate	axis	dpi	col_diam_mm_corr
MP249.20.2.1	MP249	20	2	1	1	11.04
MP249.20.2.2	MP249	20	2	2	1	11.9
MP250.20.2.1	MP250	20	2	1	1	12.47
MP250.20.2.2	MP250	20	2	2	1	12.51
MP258.20.2.1	MP258	20	2	1	1	12.55
MP258.20.2.2	MP258	20	2	2	1	12.07
TN262.20.2.1	TN262	20	2	1	1	11.27
TN262.20.2.2	TN262	20	2	2	1	11.47
TN264.20.2.1	TN264	20	2	1	1	16.5
TN264.20.2.2	TN264	20	2	2	1	15.83
TN270.20.2.1	TN270	20	2	1	1	13.53
TN270.20.2.2	TN270	20	2	2	1	13.31
TN279.20.2.1	TN279	20	2	1	1	11.45
TN279.20.2.2	TN279	20	2	2	1	11.07
TN280.20.2.1	TN280	20	2	1	1	14.14
TN280.20.2.2	TN280	20	2	2	1	14.27
TN380.20.2.1	TN380	20	2	1	1	8.65
TN380.20.2.2	TN380	20	2	2	1	8.65
TN4.20.2.1	TN4	20	2	1	1	8.58
TN4.20.2.2	TN4	20	2	2	1	8.58
TN501.20.2.1	TN501	20	2	1	1	9.53
TN501.20.2.2	TN501	20	2	2	1	9.53
TN550.20.2.1	TN550	20	2	1	1	9.43
TN550.20.2.2	TN550	20	2	2	1	9.61
W12-6.20.2.1	W12-6	20	2	1	1	9.69
W12-6.20.2.2	W12-6	20	2	2	1	10.65
W23.20.2.1	W23	20	2	1	1	10.74
W23.20.2.2	W23	20	2	2	1	10.63
W3-5.20.2.1	W3-5	20	2	1	1	5.41
W3-5.20.2.2	W3-5	20	2	2	1	6.44
Dm13.25.1.1	Dm13	25	1	1	1	26.19
Dm13.25.1.2	Dm13	25	1	2	1	26.49
Et12.25.1.1	Et12	25	1	1	1	26.26
Et12.25.1.2	Et12	25	1	2	1	28.88
Et14.25.1.1	Et14	25	1	1	1	27.32
Et14.25.1.2	Et14	25	1	2	1	26.48
Et17.25.1.1	Et17	25	1	1	1	24.95
Et17.25.1.2	Et17	25	1	2	1	24.82
Et18.25.1.1	Et18	25	1	1	1	27.76
Et18.25.1.2	Et18	25	1	2	1	27.23
IN12-4.25.1.1	IN12-4	25	1	1	1	26.58
IN12-4.25.1.2	IN12-4	25	1	2	1	25.88
IN12-8-3.25.1.1	IN12-8-3	25	1	1	1	29.18
IN12-8-3.25.1.2	IN12-8-3	25	1	2	1	29.18
IN12-9-4.25.1.1	IN12-9-4	25	1	1	1	25.01
IN12-9-4.25.1.2	IN12-9-4	25	1	2	1	22.85
IN12-9-6.25.1.1	IN12-9-6	25	1	1	1	19.33
IN12-9-6.25.1.2	IN12-9-6	25	1	2	1	18.69
IN12-PO-3.25.1.1	IN12-PO-3	25	1	1	1	24.24
IN12-PO-3.25.1.2	IN12-PO-3	25	1	2	1	22.64
Md10.25.1.1	Md10	25	1	1	1	23.5
Md10.25.1.2	Md10	25	1	2	1	23.21
Md3.25.1.1	Md3	25	1	1	1	24.46
Md3.25.1.2	Md3	25	1	2	1	23.01
Md5.25.1.1	Md5	25	1	1	1	23.81
Md5.25.1.2	Md5	25	1	2	1	23.81
Md6.25.1.1	Md6	25	1	1	1	23.69
Md6.25.1.2	Md6	25	1	2	1	24.43
Md7.25.1.1	Md7	25	1	1	1	20.89
Md7.25.1.2	Md7	25	1	2	1	22.65
MP144.25.1.1	MP144	25	1	1	1	19.14
MP144.25.1.2	MP144	25	1	2	1	19.14
MP220.25.1.1	MP220	25	1	1	1	21.17
MP220.25.1.2	MP220	25	1	2	1	20.54
MP223.25.1.1	MP223	25	1	1	1	20.72
MP223.25.1.2	MP223	25	1	2	1	20.24
MP249.25.1.1	MP249	25	1	1	1	20.44
MP249.25.1.2	MP249	25	1	2	1	20.26
MP250.25.1.1	MP250	25	1	1	1	21.02
MP250.25.1.2	MP250	25	1	2	1	21.02
MP258.25.1.1	MP258	25	1	1	1	17.83
MP258.25.1.2	MP258	25	1	2	1	18.63
TN262.25.1.1	TN262	25	1	1	1	18.42
TN262.25.1.2	TN262	25	1	2	1	17.99
TN264.25.1.1	TN264	25	1	1	1	24.93
TN264.25.1.2	TN264	25	1	2	1	25.04
TN270.25.1.1	TN270	25	1	1	1	20.35
TN270.25.1.2	TN270	25	1	2	1	20.35
TN279.25.1.1	TN279	25	1	1	1	16.21
TN279.25.1.2	TN279	25	1	2	1	17.46
TN280.25.1.1	TN280	25	1	1	1	20.85
TN280.25.1.2	TN280	25	1	2	1	20.77
TN380.25.1.1	TN380	25	1	1	1	10.67
TN380.25.1.2	TN380	25	1	2	1	11.5
TN4.25.1.1	TN4	25	1	1	1	13.64
TN4.25.1.2	TN4	25	1	2	1	13.64
TN501.25.1.1	TN501	25	1	1	1	12.49
TN501.25.1.2	TN501	25	1	2	1	13.38
TN550.25.1.1	TN550	25	1	1	1	15.87
TN550.25.1.2	TN550	25	1	2	1	17.7
W12-6.25.1.1	W12-6	25	1	1	1	15.66
W12-6.25.1.2	W12-6	25	1	2	1	17.26
W23.25.1.1	W23	25	1	1	1	17.07
W23.25.1.2	W23	25	1	2	1	16.96
W3-5.25.1.1	W3-5	25	1	1	1	11.63
W3-5.25.1.2	W3-5	25	1	2	1	12.29
Dm13.25.2.1	Dm13	25	2	1	1	28.67
Dm13.25.2.2	Dm13	25	2	2	1	30.35
Et12.25.2.1	Et12	25	2	1	1	31.11
Et12.25.2.2	Et12	25	2	2	1	32.06
Et14.25.2.1	Et14	25	2	1	1	27.7
Et14.25.2.2	Et14	25	2	2	1	27.36
Et17.25.2.1	Et17	25	2	1	1	29.78
Et17.25.2.2	Et17	25	2	2	1	28.21
Et18.25.2.1	Et18	25	2	1	1	28.11
Et18.25.2.2	Et18	25	2	2	1	29.42
IN12-4.25.2.1	IN12-4	25	2	1	1	27.22
IN12-4.25.2.2	IN12-4	25	2	2	1	27.52
IN12-8-3.25.2.1	IN12-8-3	25	2	1	1	31.77
IN12-8-3.25.2.2	IN12-8-3	25	2	2	1	29.87
IN12-9-4.25.2.1	IN12-9-4	25	2	1	1	24.61
IN12-9-4.25.2.2	IN12-9-4	25	2	2	1	24.8
IN12-9-6.25.2.1	IN12-9-6	25	2	1	1	21.58
IN12-9-6.25.2.2	IN12-9-6	25	2	2	1	22.45
IN12-PO-3.25.2.1	IN12-PO-3	25	2	1	1	23.86
IN12-PO-3.25.2.2	IN12-PO-3	25	2	2	1	22.78
Md10.25.2.1	Md10	25	2	1	1	23.44
Md10.25.2.2	Md10	25	2	2	1	23.86
Md3.25.2.1	Md3	25	2	1	1	24.18
Md3.25.2.2	Md3	25	2	2	1	23.21
Md5.25.2.1	Md5	25	2	1	1	27.26
Md5.25.2.2	Md5	25	2	2	1	27.81
Md6.25.2.1	Md6	25	2	1	1	27.4
Md6.25.2.2	Md6	25	2	2	1	26.49
Md7.25.2.1	Md7	25	2	1	1	26.49
Md7.25.2.2	Md7	25	2	2	1	26.86
MP144.25.2.1	MP144	25	2	1	1	22.14
MP144.25.2.2	MP144	25	2	2	1	21.58
MP220.25.2.1	MP220	25	2	1	1	24.94
MP220.25.2.2	MP220	25	2	2	1	24.94
MP223.25.2.1	MP223	25	2	1	1	22.11
MP223.25.2.2	MP223	25	2	2	1	22.11
MP249.25.2.1	MP249	25	2	1	1	22.4
MP249.25.2.2	MP249	25	2	2	1	22.92
MP250.25.2.1	MP250	25	2	1	1	24.7
MP250.25.2.2	MP250	25	2	2	1	24.7
MP258.25.2.1	MP258	25	2	1	1	18.56
MP258.25.2.2	MP258	25	2	2	1	19
TN262.25.2.1	TN262	25	2	1	1	19.22
TN262.25.2.2	TN262	25	2	2	1	19.36
TN264.25.2.1	TN264	25	2	1	1	25.02
TN264.25.2.2	TN264	25	2	2	1	25.2
TN270.25.2.1	TN270	25	2	1	1	21.04
TN270.25.2.2	TN270	25	2	2	1	21.23
TN279.25.2.1	TN279	25	2	1	1	18.36
TN279.25.2.2	TN279	25	2	2	1	18.52
TN280.25.2.1	TN280	25	2	1	1	23.13
TN280.25.2.2	TN280	25	2	2	1	23.06
TN380.25.2.1	TN380	25	2	1	1	14.66
TN380.25.2.2	TN380	25	2	2	1	13.74
TN4.25.2.1	TN4	25	2	1	1	15.62
TN4.25.2.2	TN4	25	2	2	1	15.63
TN501.25.2.1	TN501	25	2	1	1	12.41
TN501.25.2.2	TN501	25	2	2	1	12.3
TN550.25.2.1	TN550	25	2	1	1	18.24
TN550.25.2.2	TN550	25	2	2	1	18.89
W12-6.25.2.1	W12-6	25	2	1	1	18.64
W12-6.25.2.2	W12-6	25	2	2	1	19.29
W23.25.2.1	W23	25	2	1	1	18.17
W23.25.2.2	W23	25	2	2	1	18.89
W3-5.25.2.1	W3-5	25	2	1	1	13.37
W3-5.25.2.2	W3-5	25	2	2	1	13.69
Dm13.30.1.1	Dm13	30	1	1	1	30.19
Dm13.30.1.2	Dm13	30	1	2	1	31.34
Et12.30.1.1	Et12	30	1	1	1	33.3
Et12.30.1.2	Et12	30	1	2	1	33.36
Et14.30.1.1	Et14	30	1	1	1	28.14
Et14.30.1.2	Et14	30	1	2	1	29.12
Et17.30.1.1	Et17	30	1	1	1	26.17
Et17.30.1.2	Et17	30	1	2	1	26.21
Et18.30.1.1	Et18	30	1	1	1	29.53
Et18.30.1.2	Et18	30	1	2	1	31.4
IN12-4.30.1.1	IN12-4	30	1	1	1	31.61
IN12-4.30.1.2	IN12-4	30	1	2	1	30.66
IN12-8-3.30.1.1	IN12-8-3	30	1	1	1	32.04
IN12-8-3.30.1.2	IN12-8-3	30	1	2	1	28.24
IN12-9-4.30.1.1	IN12-9-4	30	1	1	1	24.75
IN12-9-4.30.1.2	IN12-9-4	30	1	2	1	22.18
IN12-9-6.30.1.1	IN12-9-6	30	1	1	1	26.02
IN12-9-6.30.1.2	IN12-9-6	30	1	2	1	26.18
IN12-PO-3.30.1.1	IN12-PO-3	30	1	1	1	23.97
IN12-PO-3.30.1.2	IN12-PO-3	30	1	2	1	24.05
