code,isolate,temp_C,replicate,axis,hpi,hpi_corr,col_diam_mm_corr,region
Md6.20.2.1,Md6,20,2,1,23,27.75,15.47,north
Md6.20.2.2,Md6,20,2,2,23,27.75,16.33,north
Md7.20.2.1,Md7,20,2,1,23,27.5,16.63,north
Md7.20.2.2,Md7,20,2,2,23,27.5,15.76,north
MP144.20.2.1,MP144,20,2,1,23,27.25,13.87,south
MP144.20.2.2,MP144,20,2,2,23,27.25,13.75,south
MP220.20.2.1,MP220,20,2,1,23,27,15.21,south
MP220.20.2.2,MP220,20,2,2,23,27,15.21,south
MP223.20.2.1,MP223,20,2,1,23,26.75,13.36,south
MP223.20.2.2,MP223,20,2,2,23,26.75,13.5,south
MP249.20.2.1,MP249,20,2,1,23,26.5,11.04,south
MP249.20.2.2,MP249,20,2,2,23,26.5,11.9,south
MP250.20.2.1,MP250,20,2,1,23,26.25,12.47,south
MP250.20.2.2,MP250,20,2,2,23,26.25,12.51,south
MP258.20.2.1,MP258,20,2,1,23,26,12.55,south
MP258.20.2.2,MP258,20,2,2,23,26,12.07,south
TN262.20.2.1,TN262,20,2,1,23,25.75,11.27,south
TN262.20.2.2,TN262,20,2,2,23,25.75,11.47,south
TN264.20.2.1,TN264,20,2,1,23,25.5,16.5,south
TN264.20.2.2,TN264,20,2,2,23,25.5,15.83,south
TN270.20.2.1,TN270,20,2,1,23,25.25,13.53,south
TN270.20.2.2,TN270,20,2,2,23,25.25,13.31,south
TN279.20.2.1,TN279,20,2,1,23,25,11.45,south
TN279.20.2.2,TN279,20,2,2,23,25,11.07,south
TN280.20.2.1,TN280,20,2,1,23,24.75,14.14,south
TN280.20.2.2,TN280,20,2,2,23,24.75,14.27,south
TN380.20.2.1,TN380,20,2,1,23,24.5,8.65,south
TN380.20.2.2,TN380,20,2,2,23,24.5,8.65,south
TN4.20.2.1,TN4,20,2,1,23,23,8.58,south
TN4.20.2.2,TN4,20,2,2,23,23,8.58,south
TN501.20.2.1,TN501,20,2,1,23,24.25,9.53,south
TN501.20.2.2,TN501,20,2,2,23,24.25,9.53,south
TN550.20.2.1,TN550,20,2,1,23,24,9.43,south
TN550.20.2.2,TN550,20,2,2,23,24,9.61,south
W12-6.20.2.1,W12-6,20,2,1,23,23.75,9.69,north
W12-6.20.2.2,W12-6,20,2,2,23,23.75,10.65,north
W23.20.2.1,W23,20,2,1,23,23.5,10.74,north
W23.20.2.2,W23,20,2,2,23,23.5,10.63,north
W3-5.20.2.1,W3-5,20,2,1,23,23.25,5.41,north
W3-5.20.2.2,W3-5,20,2,2,23,23.25,6.44,north
Dm13.25.1.1,Dm13,25,1,1,23,31,26.19,north
Dm13.25.1.2,Dm13,25,1,2,23,31,26.49,north
Et12.25.1.1,Et12,25,1,1,23,30.75,26.26,north
Et12.25.1.2,Et12,25,1,2,23,30.75,28.88,north
Et14.25.1.1,Et14,25,1,1,23,30.5,27.32,north
Et14.25.1.2,Et14,25,1,2,23,30.5,26.48,north
Et17.25.1.1,Et17,25,1,1,23,30.25,24.95,north
Et17.25.1.2,Et17,25,1,2,23,30.25,24.82,north
Et18.25.1.1,Et18,25,1,1,23,30,27.76,north
Et18.25.1.2,Et18,25,1,2,23,30,27.23,north
IN12-4.25.1.1,IN12-4,25,1,1,23,29.75,26.58,north
IN12-4.25.1.2,IN12-4,25,1,2,23,29.75,25.88,north
IN12-8-3.25.1.1,IN12-8-3,25,1,1,23,29.5,29.18,north
IN12-8-3.25.1.2,IN12-8-3,25,1,2,23,29.5,29.18,north
IN12-9-4.25.1.1,IN12-9-4,25,1,1,23,29.25,25.01,north
IN12-9-4.25.1.2,IN12-9-4,25,1,2,23,29.25,22.85,north
IN12-9-6.25.1.1,IN12-9-6,25,1,1,23,29,19.33,north
IN12-9-6.25.1.2,IN12-9-6,25,1,2,23,29,18.69,north
IN12-PO-3.25.1.1,IN12-PO-3,25,1,1,23,28.75,24.24,north
IN12-PO-3.25.1.2,IN12-PO-3,25,1,2,23,28.75,22.64,north
Md10.25.1.1,Md10,25,1,1,23,28.5,23.5,north
Md10.25.1.2,Md10,25,1,2,23,28.5,23.21,north
Md3.25.1.1,Md3,25,1,1,23,28.25,24.46,north
Md3.25.1.2,Md3,25,1,2,23,28.25,23.01,north
Md5.25.1.1,Md5,25,1,1,23,28,23.81,north
Md5.25.1.2,Md5,25,1,2,23,28,23.81,north
Md6.25.1.1,Md6,25,1,1,23,27.75,23.69,north
Md6.25.1.2,Md6,25,1,2,23,27.75,24.43,north
Md7.25.1.1,Md7,25,1,1,23,27.5,20.89,north
Md7.25.1.2,Md7,25,1,2,23,27.5,22.65,north
MP144.25.1.1,MP144,25,1,1,23,27.25,19.14,south
MP144.25.1.2,MP144,25,1,2,23,27.25,19.14,south
MP220.25.1.1,MP220,25,1,1,23,27,21.17,south
MP220.25.1.2,MP220,25,1,2,23,27,20.54,south
MP223.25.1.1,MP223,25,1,1,23,26.75,20.72,south
MP223.25.1.2,MP223,25,1,2,23,26.75,20.24,south
MP249.25.1.1,MP249,25,1,1,23,26.5,20.44,south
MP249.25.1.2,MP249,25,1,2,23,26.5,20.26,south
MP250.25.1.1,MP250,25,1,1,23,26.25,21.02,south
MP250.25.1.2,MP250,25,1,2,23,26.25,21.02,south
MP258.25.1.1,MP258,25,1,1,23,26,17.83,south
MP258.25.1.2,MP258,25,1,2,23,26,18.63,south
TN262.25.1.1,TN262,25,1,1,23,25.75,18.42,south
TN262.25.1.2,TN262,25,1,2,23,25.75,17.99,south
TN264.25.1.1,TN264,25,1,1,23,25.5,24.93,south
TN264.25.1.2,TN264,25,1,2,23,25.5,25.04,south
TN270.25.1.1,TN270,25,1,1,23,25.25,20.35,south
TN270.25.1.2,TN270,25,1,2,23,25.25,20.35,south
TN279.25.1.1,TN279,25,1,1,23,25,16.21,south
TN279.25.1.2,TN279,25,1,2,23,25,17.46,south
TN280.25.1.1,TN280,25,1,1,23,24.75,20.85,south
TN280.25.1.2,TN280,25,1,2,23,24.75,20.77,south
TN380.25.1.1,TN380,25,1,1,23,24.5,10.67,south
TN380.25.1.2,TN380,25,1,2,23,24.5,11.5,south
TN4.25.1.1,TN4,25,1,1,23,23,13.64,south
TN4.25.1.2,TN4,25,1,2,23,23,13.64,south
TN501.25.1.1,TN501,25,1,1,23,24.25,12.49,south
TN501.25.1.2,TN501,25,1,2,23,24.25,13.38,south
TN550.25.1.1,TN550,25,1,1,23,24,15.87,south
TN550.25.1.2,TN550,25,1,2,23,24,17.7,south
W12-6.25.1.1,W12-6,25,1,1,23,23.75,15.66,north
W12-6.25.1.2,W12-6,25,1,2,23,23.75,17.26,north
W23.25.1.1,W23,25,1,1,23,23.5,17.07,north
W23.25.1.2,W23,25,1,2,23,23.5,16.96,north
W3-5.25.1.1,W3-5,25,1,1,23,23.25,11.63,north
W3-5.25.1.2,W3-5,25,1,2,23,23.25,12.29,north
Dm13.25.2.1,Dm13,25,2,1,23,31,28.67,north
Dm13.25.2.2,Dm13,25,2,2,23,31,30.35,north
Et12.25.2.1,Et12,25,2,1,23,30.75,31.11,north
Et12.25.2.2,Et12,25,2,2,23,30.75,32.06,north
Et14.25.2.1,Et14,25,2,1,23,30.5,27.7,north
Et14.25.2.2,Et14,25,2,2,23,30.5,27.36,north
Et17.25.2.1,Et17,25,2,1,23,30.25,29.78,north
Et17.25.2.2,Et17,25,2,2,23,30.25,28.21,north
Et18.25.2.1,Et18,25,2,1,23,30,28.11,north
Et18.25.2.2,Et18,25,2,2,23,30,29.42,north
IN12-4.25.2.1,IN12-4,25,2,1,23,29.75,27.22,north
IN12-4.25.2.2,IN12-4,25,2,2,23,29.75,27.52,north
IN12-8-3.25.2.1,IN12-8-3,25,2,1,23,29.5,31.77,north
IN12-8-3.25.2.2,IN12-8-3,25,2,2,23,29.5,29.87,north
IN12-9-4.25.2.1,IN12-9-4,25,2,1,23,29.25,24.61,north
IN12-9-4.25.2.2,IN12-9-4,25,2,2,23,29.25,24.8,north
IN12-9-6.25.2.1,IN12-9-6,25,2,1,23,29,21.58,north
IN12-9-6.25.2.2,IN12-9-6,25,2,2,23,29,22.45,north
IN12-PO-3.25.2.1,IN12-PO-3,25,2,1,23,28.75,23.86,north
IN12-PO-3.25.2.2,IN12-PO-3,25,2,2,23,28.75,22.78,north
Md10.25.2.1,Md10,25,2,1,23,28.5,23.44,north
Md10.25.2.2,Md10,25,2,2,23,28.5,23.86,north
Md3.25.2.1,Md3,25,2,1,23,28.25,24.18,north
Md3.25.2.2,Md3,25,2,2,23,28.25,23.21,north
Md5.25.2.1,Md5,25,2,1,23,28,27.26,north
Md5.25.2.2,Md5,25,2,2,23,28,27.81,north
Md6.25.2.1,Md6,25,2,1,23,27.75,27.4,north
Md6.25.2.2,Md6,25,2,2,23,27.75,26.49,north
Md7.25.2.1,Md7,25,2,1,23,27.5,26.49,north
Md7.25.2.2,Md7,25,2,2,23,27.5,26.86,north
MP144.25.2.1,MP144,25,2,1,23,27.25,22.14,south
MP144.25.2.2,MP144,25,2,2,23,27.25,21.58,south
MP220.25.2.1,MP220,25,2,1,23,27,24.94,south
MP220.25.2.2,MP220,25,2,2,23,27,24.94,south
MP223.25.2.1,MP223,25,2,1,23,26.75,22.11,south
MP223.25.2.2,MP223,25,2,2,23,26.75,22.11,south
MP249.25.2.1,MP249,25,2,1,23,26.5,22.4,south
MP249.25.2.2,MP249,25,2,2,23,26.5,22.92,south
MP250.25.2.1,MP250,25,2,1,23,26.25,24.7,south
MP250.25.2.2,MP250,25,2,2,23,26.25,24.7,south
MP258.25.2.1,MP258,25,2,1,23,26,18.56,south
MP258.25.2.2,MP258,25,2,2,23,26,19,south
TN262.25.2.1,TN262,25,2,1,23,25.75,19.22,south
TN262.25.2.2,TN262,25,2,2,23,25.75,19.36,south
TN264.25.2.1,TN264,25,2,1,23,25.5,25.02,south
TN264.25.2.2,TN264,25,2,2,23,25.5,25.2,south
TN270.25.2.1,TN270,25,2,1,23,25.25,21.04,south
TN270.25.2.2,TN270,25,2,2,23,25.25,21.23,south
TN279.25.2.1,TN279,25,2,1,23,25,18.36,south
TN279.25.2.2,TN279,25,2,2,23,25,18.52,south
TN280.25.2.1,TN280,25,2,1,23,24.75,23.13,south
TN280.25.2.2,TN280,25,2,2,23,24.75,23.06,south
TN380.25.2.1,TN380,25,2,1,23,24.5,14.66,south
TN380.25.2.2,TN380,25,2,2,23,24.5,13.74,south
TN4.25.2.1,TN4,25,2,1,23,23,15.62,south
TN4.25.2.2,TN4,25,2,2,23,23,15.63,south
TN501.25.2.1,TN501,25,2,1,23,24.25,12.41,south
TN501.25.2.2,TN501,25,2,2,23,24.25,12.3,south
TN550.25.2.1,TN550,25,2,1,23,24,18.24,south
TN550.25.2.2,TN550,25,2,2,23,24,18.89,south
W12-6.25.2.1,W12-6,25,2,1,23,23.75,18.64,north
W12-6.25.2.2,W12-6,25,2,2,23,23.75,19.29,north
W23.25.2.1,W23,25,2,1,23,23.5,18.17,north
W23.25.2.2,W23,25,2,2,23,23.5,18.89,north
W3-5.25.2.1,W3-5,25,2,1,23,23.25,13.37,north
W3-5.25.2.2,W3-5,25,2,2,23,23.25,13.69,north
Dm13.30.1.1,Dm13,30,1,1,20,28,30.19,north
Dm13.30.1.2,Dm13,30,1,2,20,28,31.34,north
Et12.30.1.1,Et12,30,1,1,20,27.75,33.3,north
Et12.30.1.2,Et12,30,1,2,20,27.75,33.36,north
Et14.30.1.1,Et14,30,1,1,20,27.5,28.14,north
Et14.30.1.2,Et14,30,1,2,20,27.5,29.12,north
Et17.30.1.1,Et17,30,1,1,20,27.25,26.17,north
Et17.30.1.2,Et17,30,1,2,20,27.25,26.21,north
Et18.30.1.1,Et18,30,1,1,20,27,29.53,north
Et18.30.1.2,Et18,30,1,2,20,27,31.4,north
IN12-4.30.1.1,IN12-4,30,1,1,20,26.75,31.61,north
IN12-4.30.1.2,IN12-4,30,1,2,20,26.75,30.66,north
IN12-8-3.30.1.1,IN12-8-3,30,1,1,20,26.5,32.04,north
IN12-8-3.30.1.2,IN12-8-3,30,1,2,20,26.5,28.24,north
IN12-9-4.30.1.1,IN12-9-4,30,1,1,20,26.25,24.75,north
IN12-9-4.30.1.2,IN12-9-4,30,1,2,20,26.25,22.18,north
IN12-9-6.30.1.1,IN12-9-6,30,1,1,20,26,26.02,north
IN12-9-6.30.1.2,IN12-9-6,30,1,2,20,26,26.18,north
IN12-PO-3.30.1.1,IN12-PO-3,30,1,1,20,25.75,23.97,north
IN12-PO-3.30.1.2,IN12-PO-3,30,1,2,20,25.75,24.05,north
Md10.30.1.1,Md10,30,1,1,20,25.5,26.61,north
